"","RT","TYPE","SERIALNO","PUMA","HINCP","NP"
"4325","H",1,1452229,102,176000,4
"4326","H",1,1452527,200,44000,2
"4327","H",1,1452585,101,20700,1
"4328","H",1,1453056,300,NA,0
"4329","H",1,1453089,102,170000,4
"4330","H",1,1453306,104,16700,1
"4331","H",1,1453472,300,24000,1
"4332","H",1,1454519,101,29900,5
"4333","H",1,1454714,103,54700,2
"4334","H",3,1455045,200,NA,1
"4335","H",1,1455223,300,13100,2
"4336","H",1,1455812,300,91600,2
"4337","H",1,1456075,103,NA,0
"4338","H",1,1456798,300,34000,1
"4339","H",1,1457666,101,72500,1
"4340","H",1,1457843,300,78700,2
"4341","H",1,1458430,200,NA,0
"4342","H",1,1458550,103,10600,4
"4343","H",1,1458647,104,119800,1
"4344","H",2,1458655,300,NA,1
"4345","H",1,1458887,300,NA,0
"4346","H",1,1459282,104,140050,4
"4347","H",1,1459534,200,60000,2
"4348","H",1,1459782,300,NA,0
"4349","H",1,1459856,102,82100,2
"4350","H",1,1460155,103,163000,2
"4351","H",1,1461014,101,58000,1
"4352","H",1,1461027,102,55000,1
"4353","H",1,1462332,300,120000,4
"4354","H",1,1462786,300,8900,1
"4355","H",1,1462996,300,28900,1
"4356","H",1,1463185,102,60400,1
"4357","H",1,1464444,300,6000,2
"4358","H",1,1464695,300,51500,2
"4359","H",1,1464811,300,NA,0
"4360","H",1,1465186,300,53000,2
"4361","H",1,1465230,300,18000,1
"4362","H",1,1465266,104,120000,3
"4363","H",1,1465360,103,530200,4
"4364","H",1,1466414,102,76000,3
"4365","H",1,1466826,300,85000,2
"4366","H",2,1466983,102,NA,1
"4367","H",1,1467514,103,82000,3
"4368","H",1,1467521,200,NA,0
"4369","H",1,1467674,200,NA,0
"4370","H",1,1467822,300,NA,0
"4371","H",1,1467987,102,3500,1
"4372","H",1,1468792,300,85800,2
"4373","H",1,1468827,102,14300,1
"4374","H",1,1469284,300,71000,3
"4375","H",1,1469431,300,NA,0
"4376","H",1,1469878,300,80650,2
"4377","H",1,1469941,104,68000,1
"4378","H",1,1470114,300,19201,3
"4379","H",1,1470760,300,17300,2
"4380","H",1,1471147,103,86000,3
"4381","H",1,1471175,101,103934,3
"4382","H",1,1472129,103,60000,2
"4383","H",1,1472209,103,107000,2
"4384","H",1,1472248,300,1500,1
"4385","H",1,1472275,300,NA,0
"4386","H",3,1472453,103,NA,1
"4387","H",3,1472692,200,NA,1
"4388","H",1,1472881,103,36000,6
"4389","H",1,1473093,102,33000,2
"4390","H",1,1473153,300,NA,0
"4391","H",1,1473479,102,84400,4
"4392","H",1,1473523,200,7100,1
"4393","H",1,1473536,300,NA,0
"4394","H",1,1473851,300,25000,4
"4395","H",3,1474445,200,NA,1
"4396","H",1,1474598,104,96200,7
"4397","H",3,1474609,103,NA,1
"4398","H",1,1474672,300,80000,1
"4399","H",1,1474676,200,23000,1
"4400","H",1,1474790,300,63200,2
"4401","H",1,1475105,102,14200,1
"4402","H",1,1475127,300,26700,2
"4403","H",1,1475287,200,6900,1
"4404","H",1,1475633,104,53700,3
"4405","H",1,1475634,200,12000,2
"4406","H",1,1476408,300,NA,0
"4407","H",1,1476582,200,48000,1
"4408","H",1,1476614,103,NA,0
"4409","H",1,1476670,102,36000,1
"4410","H",2,1476694,103,NA,1
"4411","H",1,1476957,300,NA,0
"4412","H",1,1477125,300,78000,3
"4413","H",1,1478302,101,7200,1
"4414","H",1,1478764,300,NA,0
"4415","H",1,1479351,101,27600,2
"4416","H",1,1479363,300,NA,0
"4417","H",1,1481858,300,NA,0
"4418","H",1,1483044,103,38000,3
"4419","H",1,1483167,101,3000,1
"4420","H",1,1483360,300,22000,2
"4421","H",1,1483448,300,244200,2
"4422","H",1,1483913,102,345000,4
"4423","H",1,1483914,102,162000,3
"4424","H",1,1485547,102,475000,6
"4425","H",1,1485663,300,NA,0
"4426","H",1,1485754,300,NA,0
"4427","H",1,1486044,103,66000,2
"4428","H",1,1486632,300,69000,3
"4429","H",1,1486836,102,140000,5
"4430","H",1,1487068,200,7400,1
"4431","H",1,1487690,300,130,1
"4432","H",1,1488321,102,403000,2
"4433","H",1,1489104,200,72700,2
"4434","H",1,1489296,300,NA,0
"4435","H",1,1489314,103,58000,1
"4436","H",1,1489487,101,81700,2
"4437","H",1,1489740,102,316600,3
"4438","H",1,1489760,101,17600,1
"4439","H",1,1489985,101,12300,2
"4440","H",1,1490130,300,47400,2
"4441","H",1,1490283,101,97000,4
"4442","H",1,1490357,102,85000,2
"4443","H",1,1490800,300,28800,3
"4444","H",3,1491001,103,NA,1
"4445","H",1,1491047,300,NA,0
"4446","H",1,1491785,300,49600,3
"4447","H",1,1492305,103,155800,4
"4448","H",1,1492445,300,NA,0
"4449","H",1,1492675,300,40290,3
