"","RT","TYPE","SERIALNO","PUMA","HINCP","NP"
"453","H",1,146556,200,52100,2
"454","H",1,146730,103,16500,1
"455","H",1,147161,104,91000,3
"456","H",1,147323,102,200600,3
"457","H",1,147714,300,316900,2
"458","H",1,148696,101,9000,1
"459","H",1,148828,200,89290,2
"460","H",1,149095,200,113000,2
"461","H",1,149402,200,44900,3
"462","H",2,149778,200,NA,1
"463","H",1,150040,102,55000,2
"464","H",1,150189,200,93500,5
"465","H",1,150227,300,NA,0
"466","H",1,150299,300,23490,1
"467","H",1,150408,300,65700,4
"468","H",1,150540,200,114000,5
"469","H",1,151082,300,158300,2
"470","H",1,151264,300,NA,0
"471","H",1,151345,300,42800,2
"472","H",1,152008,300,NA,0
"473","H",1,152802,101,195000,2
"474","H",1,153088,104,100200,2
"475","H",1,153633,104,77500,2
"476","H",1,153960,102,9800,1
"477","H",3,154252,103,NA,1
"478","H",1,154678,103,164600,4
"479","H",1,155103,200,8900,2
"480","H",1,155449,300,36000,1
"481","H",1,155724,300,NA,0
"482","H",1,156148,102,51200,3
"483","H",1,156151,300,15400,1
"484","H",1,157044,300,NA,0
"485","H",1,157117,103,160000,2
"486","H",1,157228,200,70200,2
"487","H",1,157543,101,8000,5
"488","H",1,157558,104,117100,2
"489","H",1,157671,300,31000,2
"490","H",1,157751,200,37900,2
"491","H",1,158325,200,68000,1
"492","H",1,158500,102,135350,2
"493","H",1,158745,200,96700,4
"494","H",1,159430,101,33000,5
"495","H",1,159622,102,205000,2
"496","H",1,160578,300,NA,0
"497","H",1,161379,300,61900,1
"498","H",1,161443,102,139200,2
"499","H",1,161666,103,51000,4
"500","H",1,162181,200,89300,4
"501","H",1,162486,102,36200,4
"502","H",1,162616,300,55400,2
"503","H",1,163004,102,11400,1
"504","H",1,163152,200,96400,1
"505","H",1,163277,200,110000,2
"506","H",1,164395,102,140000,6
"507","H",1,164939,300,NA,0
"508","H",1,165163,101,49000,2
"509","H",1,165843,102,131000,3
"510","H",1,165960,102,164000,2
"511","H",1,166059,300,118000,4
"512","H",1,166719,200,17300,4
"513","H",1,166825,200,100000,3
"514","H",1,166969,300,71400,2
"515","H",1,167840,103,357000,3
"516","H",1,167901,300,34730,2
"517","H",1,169264,102,5100,3
"518","H",1,169843,102,42800,2
"519","H",1,170460,102,41820,1
"520","H",1,170730,102,62020,2
"521","H",1,170785,104,82000,4
"522","H",1,170935,101,74300,3
"523","H",1,171131,300,99660,2
"524","H",1,171279,200,1200,4
"525","H",1,171430,103,171800,4
"526","H",1,171744,104,34000,1
"527","H",1,171745,102,130000,2
"528","H",1,171888,101,14500,1
"529","H",1,171918,102,30000,3
"530","H",1,172233,101,6800,1
"531","H",1,172841,102,200690,3
"532","H",1,173052,300,47200,3
"533","H",1,173975,102,14400,1
"534","H",1,174076,104,25000,1
"535","H",1,175399,300,44900,10
"536","H",1,175463,200,84140,2
"537","H",1,175505,200,60600,2
"538","H",1,175731,200,382064,4
"539","H",1,175784,300,86500,2
"540","H",1,175810,101,72000,1
"541","H",1,175994,103,66000,4
"542","H",1,176292,102,289000,2
"543","H",1,177178,102,25000,3
"544","H",1,177278,101,45000,2
"545","H",1,177279,101,20000,1
"546","H",1,179043,104,135004,4
"547","H",1,179182,300,43600,2
"548","H",1,179327,200,562000,5
"549","H",1,179450,103,32600,2
"550","H",1,180134,300,NA,0
"551","H",3,180375,103,NA,1
"552","H",1,180481,103,19400,1
"553","H",1,180983,104,70000,5
"554","H",1,181337,103,195000,3
"555","H",1,181378,101,126000,3
"556","H",1,181916,101,196000,3
"557","H",1,182624,103,128400,4
"558","H",1,182822,104,7200,1
"559","H",1,182841,102,94000,3
"560","H",1,183125,200,70004,3
"561","H",1,183340,300,384180,6
"562","H",1,183460,104,160700,4
"563","H",1,183764,300,78100,3
"564","H",1,183803,103,64000,4
"565","H",1,184121,300,24200,2
"566","H",1,184702,104,NA,0
"567","H",1,185150,104,110000,2
"568","H",1,185208,300,NA,0
"569","H",1,186890,102,169000,4
"570","H",1,187244,102,120000,6
"571","H",1,188287,300,NA,0
"572","H",1,188484,101,21000,2
"573","H",1,188732,104,102000,2
"574","H",1,188762,103,215000,3
"575","H",3,189353,103,NA,1
"576","H",1,189894,104,153300,5
"577","H",1,190137,103,75000,3
"578","H",1,190261,104,68300,2
"579","H",1,190280,104,222200,4
"580","H",1,190352,200,NA,0
"581","H",1,190405,104,193400,4
"582","H",1,190822,200,55300,3
"583","H",1,191521,200,16500,2
"584","H",1,191624,300,70880,2
"585","H",1,191803,300,299600,4
"586","H",1,192762,300,82700,2
"587","H",1,192839,104,74000,1
"588","H",3,192942,103,NA,1
"589","H",1,193012,103,127700,2
"590","H",2,193758,102,NA,1
"591","H",1,193936,300,NA,0
"592","H",1,194661,300,157000,5
"593","H",1,194807,103,83000,2
"594","H",1,195822,102,102000,2
"595","H",1,195956,300,227250,2
"596","H",1,195978,102,105000,3
"597","H",2,196106,300,NA,1
"598","H",1,196371,300,NA,0
"599","H",1,196376,104,18800,2
"600","H",1,196640,300,NA,0
"601","H",1,196813,300,32500,2
"602","H",3,198230,101,NA,1
"603","H",1,198773,300,40500,3
"604","H",1,199153,101,592000,2
"605","H",1,199442,300,13380,1
"606","H",1,199565,200,93000,4
"607","H",1,200100,102,219300,2
"608","H",1,200237,101,NA,0
"609","H",1,200930,300,30560,2
"610","H",3,201384,103,NA,1
"611","H",1,202384,104,94000,2
"612","H",2,203049,102,NA,1
"613","H",3,203161,101,NA,1
"614","H",1,203360,300,NA,0
"615","H",1,203717,200,39780,1
"616","H",1,204220,200,15110,2
"617","H",1,204920,102,33500,2
"618","H",2,205331,200,NA,1
"619","H",1,205671,102,28900,1
"620","H",1,206076,300,137200,2
"621","H",1,206403,103,91600,3
"622","H",1,206548,102,107200,4
"623","H",1,207189,103,27000,1
"624","H",1,207220,101,NA,0
"625","H",1,207723,102,18000,2
"626","H",1,207905,300,NA,0
"627","H",1,208161,103,88000,2
"628","H",1,208209,104,139000,4
"629","H",1,208560,200,113720,1
"630","H",1,208728,104,122400,2
"631","H",1,208810,103,83000,2
"632","H",2,209034,300,NA,1
"633","H",1,209842,101,20300,2
"634","H",1,210659,300,NA,0
"635","H",1,210693,103,66000,3
"636","H",1,211006,103,17400,2
"637","H",1,211146,300,108400,2
"638","H",1,211350,300,46500,6
"639","H",3,211455,103,NA,1
"640","H",1,211492,102,202000,2
"641","H",1,211622,101,41000,2
"642","H",1,211676,300,NA,0
"643","H",2,212732,300,NA,1
"644","H",1,213026,103,79000,2
"645","H",1,213410,102,84000,5
"646","H",1,213619,300,33100,1
"647","H",1,213984,200,17400,1
"648","H",1,214197,300,16500,1
"649","H",1,214245,103,165000,3
"650","H",1,214762,200,16100,1
"651","H",1,215549,103,162000,2
"652","H",1,215778,300,77000,2
"653","H",1,215995,102,106000,2
"654","H",1,216680,300,NA,0
"655","H",1,216861,300,NA,0
"656","H",1,217101,104,101000,2
"657","H",1,217206,103,98000,3
"658","H",1,217253,200,20090,1
"659","H",1,218541,103,38000,2
"660","H",1,218698,104,28100,2
"661","H",1,218799,101,45200,3
"662","H",1,219102,101,34100,1
"663","H",1,219493,200,70000,3
"664","H",1,220018,200,40800,1
"665","H",1,220450,300,NA,0
"666","H",1,220621,103,50000,2
"667","H",1,220775,300,76030,2
"668","H",2,221794,300,NA,1
"669","H",1,222065,102,50000,3
"670","H",1,222184,300,67300,2
"671","H",1,222203,300,99000,2
"672","H",1,222295,102,67600,4
"673","H",1,222778,104,85500,4
"674","H",1,222875,300,NA,0
"675","H",1,222968,104,107000,4
"676","H",1,223079,103,100000,4
"677","H",1,223505,101,51600,2
"678","H",1,223740,200,NA,0
"679","H",1,223986,103,118500,2
"680","H",1,224423,200,71100,2
"681","H",1,224811,104,90000,2
"682","H",1,225203,300,79210,2
"683","H",1,226130,104,123000,3
"684","H",1,226264,103,28800,1
"685","H",1,226591,300,76400,3
"686","H",1,227080,103,124100,2
"687","H",1,227239,103,14410,1
"688","H",1,227413,102,186000,2
"689","H",1,227500,300,NA,0
"690","H",1,227778,300,19600,5
"691","H",1,228280,102,399100,2
"692","H",1,228400,101,37000,4
"693","H",1,228627,300,12000,1
"694","H",1,229400,300,NA,0
"695","H",1,229583,103,11200,1
"696","H",1,229629,300,67600,2
"697","H",1,229862,300,68550,2
"698","H",1,230236,101,NA,0
"699","H",1,231102,300,NA,0
"700","H",1,231287,300,82200,4
"701","H",1,231578,102,61200,2
"702","H",1,231924,300,11300,1
"703","H",1,232263,300,37100,2
"704","H",1,232452,101,27300,3
"705","H",1,232469,300,105314,3
"706","H",1,232667,103,22000,1
"707","H",1,232754,103,92000,1
"708","H",1,232895,300,143000,3
"709","H",1,232961,300,106000,3
"710","H",1,233040,103,45000,1
"711","H",1,233333,300,32950,2
"712","H",1,233895,104,86400,2
"713","H",1,234327,300,NA,0
"714","H",1,234432,102,381200,2
"715","H",1,234643,300,31500,2
"716","H",1,234930,102,170000,2
"717","H",1,234959,300,64300,2
"718","H",1,235740,103,42600,1
"719","H",1,235769,200,73000,2
"720","H",1,235770,102,142400,2
"721","H",1,235863,102,89700,2
"722","H",1,236024,104,152000,3
"723","H",1,236238,101,NA,0
"724","H",1,236361,200,126400,3
"725","H",1,236682,102,NA,0
"726","H",2,236902,200,NA,1
"727","H",1,239619,200,68070,2
"728","H",1,240603,200,32700,1
"729","H",1,240714,102,40000,1
"730","H",1,240908,300,41500,2
"731","H",1,241355,102,275000,4
"732","H",1,241374,102,NA,0
"733","H",1,241784,200,NA,0
"734","H",1,242497,300,143000,3
"735","H",2,242574,104,NA,1
"736","H",1,242687,200,71000,3
"737","H",1,242853,300,NA,0
"738","H",1,242929,200,7900,1
"739","H",1,243269,300,80000,1
"740","H",1,243535,103,15200,1
"741","H",1,243664,300,NA,0
"742","H",2,244065,104,NA,1
"743","H",1,244168,103,110000,1
"744","H",2,244216,300,NA,1
"745","H",1,244904,103,84000,2
"746","H",1,245455,300,69000,2
"747","H",1,245693,300,141250,2
"748","H",1,246243,200,31000,2
"749","H",1,246589,102,26300,1
"750","H",1,246707,300,21300,1
"751","H",2,246873,102,NA,1
"752","H",1,247275,102,129560,1
"753","H",1,247287,102,51600,2
"754","H",1,247655,200,60400,3
"755","H",2,248055,104,NA,1
"756","H",1,248127,101,19600,3
"757","H",1,249025,200,34600,2
"758","H",1,249231,300,68000,2
"759","H",1,249332,104,24000,3
"760","H",1,249891,104,124500,4
"761","H",1,250169,102,96800,3
"762","H",1,250762,300,NA,0
"763","H",1,250917,103,33500,2
"764","H",1,250995,104,43900,6
"765","H",1,251216,103,117200,3
"766","H",1,251374,300,88000,1
"767","H",3,251380,200,NA,1
"768","H",1,251456,200,56900,2
"769","H",1,251563,300,47000,2
"770","H",1,251747,103,18900,1
"771","H",1,251750,104,72620,3
"772","H",3,251958,103,NA,1
"773","H",1,252293,200,53600,2
"774","H",1,252344,300,42000,1
"775","H",1,252624,104,55200,4
"776","H",1,253107,300,21500,1
"777","H",1,253319,300,18800,1
"778","H",1,253351,200,102800,2
"779","H",1,253423,103,25900,2
"780","H",1,254460,200,46300,3
"781","H",1,255040,300,27000,1
"782","H",1,255141,300,24400,3
"783","H",1,255549,102,46000,1
"784","H",1,255677,102,82000,1
"785","H",1,255870,104,123000,4
"786","H",1,256618,300,69000,5
"787","H",1,256663,300,66000,2
"788","H",1,256756,104,66400,5
"789","H",1,257286,200,17800,6
"790","H",1,257485,300,52000,2
"791","H",1,257618,104,12200,2
"792","H",1,257632,101,48500,3
"793","H",1,257959,102,210000,2
"794","H",1,258018,300,45000,4
"795","H",1,258205,300,75000,5
"796","H",1,258345,300,69400,2
"797","H",1,258628,300,33900,2
"798","H",1,258679,300,26600,4
"799","H",1,258938,103,18100,1
"800","H",1,259012,200,3000,1
"801","H",1,259247,300,12000,2
"802","H",1,259644,103,53000,2
"803","H",1,259735,101,68700,4
"804","H",1,260605,200,45000,1
"805","H",1,260827,200,75000,1
"806","H",1,261656,300,200000,2
"807","H",1,261954,103,60000,1
"808","H",1,262103,103,19500,5
"809","H",1,262244,300,NA,0
"810","H",1,262605,103,89000,2
"811","H",1,263483,200,69200,4
"812","H",1,263535,300,NA,0
"813","H",1,263834,200,167000,5
"814","H",1,263927,101,95000,3
"815","H",1,264422,103,13200,1
"816","H",1,265117,101,6600,4
"817","H",1,265272,101,80100,3
"818","H",1,265619,104,24000,3
"819","H",1,266308,300,NA,0
"820","H",1,266910,102,113500,2
"821","H",1,267286,102,11000,1
"822","H",1,268079,101,6700,5
"823","H",1,268722,200,70008,7
"824","H",1,269075,300,14000,2
"825","H",1,269492,102,27000,2
"826","H",1,269603,300,64700,2
"827","H",1,269845,200,57200,4
"828","H",1,270015,300,NA,0
"829","H",1,270147,101,146000,3
"830","H",1,270270,200,133500,7
"831","H",1,270309,102,30800,1
"832","H",1,270438,103,2800,3
"833","H",1,270759,300,9600,2
"834","H",1,271070,102,48950,2
"835","H",1,271135,104,210000,2
"836","H",1,271151,200,NA,0
"837","H",1,271420,101,200,2
"838","H",1,271513,300,18000,2
"839","H",1,271604,101,82000,3
"840","H",1,271796,300,47700,2
"841","H",1,271871,300,57700,2
"842","H",1,272509,200,75000,2
"843","H",1,272743,300,54000,2
"844","H",1,273572,300,155000,2
"845","H",1,273803,300,40000,1
"846","H",1,274047,300,NA,0
"847","H",1,274225,101,12800,1
"848","H",1,274891,103,53100,4
"849","H",1,275302,300,206000,1
"850","H",1,275354,300,NA,0
"851","H",1,275869,102,160000,4
"852","H",1,275993,102,893200,4
"853","H",2,276217,200,NA,1
"854","H",1,276756,102,394010,2
"855","H",1,276761,200,70300,2
"856","H",2,277174,300,NA,1
"857","H",1,278180,102,164900,3
"858","H",1,278213,102,149300,2
"859","H",1,278623,104,31430,2
"860","H",1,278697,300,102640,2
"861","H",1,279321,101,46700,4
"862","H",1,279971,103,NA,0
"863","H",1,280535,300,142000,5
"864","H",1,281224,300,75000,2
"865","H",1,281236,200,47750,1
"866","H",1,281494,102,211000,2
"867","H",1,281587,300,36000,2
"868","H",1,282254,200,13100,2
"869","H",1,282923,103,16900,1
"870","H",3,283038,200,NA,1
"871","H",1,283057,300,92500,3
"872","H",1,283161,102,23200,5
"873","H",1,283537,300,40200,2
"874","H",1,284171,103,17400,1
"875","H",1,284450,200,50000,3
"876","H",1,285210,101,190000,2
"877","H",1,285390,200,7000,2
"878","H",3,285987,103,NA,1
"879","H",1,286527,101,35000,1
"880","H",1,286545,101,365000,2
"881","H",1,286665,101,37000,2
"882","H",1,286929,102,237000,4
"883","H",1,287239,101,26000,1
"884","H",1,287681,200,42100,4
"885","H",1,288151,300,NA,0
"886","H",1,288528,300,115350,6
"887","H",1,288927,300,NA,0
"888","H",1,289115,103,200000,6
"889","H",1,289129,300,15500,1
"890","H",1,289232,103,84050,2
"891","H",1,289667,103,55000,1
"892","H",1,290483,300,84000,2
"893","H",1,290856,102,128000,2
"894","H",1,290861,300,18000,1
"895","H",1,291129,300,38800,2
"896","H",1,291803,102,131000,2
"897","H",1,292115,300,88900,3
"898","H",1,292117,104,251400,2
"899","H",1,292179,200,57700,2
"900","H",1,292780,101,39000,1
"901","H",1,293474,103,123000,2
"902","H",1,293786,101,120000,2
"903","H",1,294065,103,50000,3
"904","H",1,294234,102,57000,5
"905","H",1,294243,101,53000,5
"906","H",1,296021,300,26900,3
"907","H",1,296276,104,NA,0
"908","H",1,296347,300,42600,2
"909","H",1,296474,300,NA,0
"910","H",1,296946,200,75050,1
"911","H",1,297417,200,56000,4
"912","H",1,297543,103,45040,2
"913","H",1,298049,300,NA,0
"914","H",1,298113,101,343000,2
"915","H",1,298450,104,47200,1
"916","H",1,299425,200,47000,1
"917","H",1,299577,300,NA,0
"918","H",1,299657,300,NA,0
"919","H",1,299671,300,NA,0
"920","H",1,299787,101,128000,2
"921","H",1,299885,300,NA,0
"922","H",1,300166,300,88650,2
"923","H",1,300183,300,13380,1
"924","H",1,301070,101,29010,2
"925","H",1,301979,200,49300,2
"926","H",1,302002,300,182000,2
"927","H",1,302350,200,25400,1
"928","H",1,302448,300,37210,1
"929","H",1,302676,101,22800,1
"930","H",1,302740,200,41760,1
"931","H",1,302788,102,211000,2
"932","H",1,302945,104,173000,4
"933","H",1,303186,200,51200,2
"934","H",1,303394,300,15000,1
"935","H",1,303617,300,12400,3
"936","H",1,303959,103,63800,4
"937","H",1,304088,200,58600,5
"938","H",1,304312,300,NA,0
"939","H",1,304487,300,36000,2
"940","H",1,304923,101,NA,0
"941","H",1,305041,102,71000,4
"942","H",1,306103,300,NA,0
"943","H",3,306424,102,NA,1
"944","H",1,306810,300,33000,5
"945","H",1,307149,102,87800,3
"946","H",1,307629,102,76000,1
"947","H",1,308510,300,82900,4
"948","H",1,308848,103,69800,2
"949","H",1,309690,102,NA,0
"950","H",2,310007,102,NA,1
"951","H",1,310048,300,80000,3
"952","H",1,310132,300,42500,1
"953","H",1,310149,200,20300,1
"954","H",1,310178,102,281500,3
"955","H",1,310241,101,14000,3
"956","H",1,310548,102,31500,1
"957","H",1,310630,300,NA,0
"958","H",1,311120,300,NA,0
"959","H",1,311184,104,120000,2
"960","H",1,311187,200,35000,3
"961","H",2,311251,104,NA,1
"962","H",1,311570,300,53500,2
"963","H",1,311803,200,50900,2
"964","H",1,312301,300,35000,2
"965","H",1,312420,200,70000,1
"966","H",1,312554,300,NA,0
"967","H",1,312962,200,84500,4
"968","H",1,313857,102,66500,5
"969","H",1,313918,300,79000,3
"970","H",1,314386,101,255000,2
"971","H",2,314884,101,NA,1
"972","H",1,315557,101,12000,1
"973","H",1,315799,200,39500,2
"974","H",1,315969,103,89310,4
"975","H",1,316859,200,14900,1
"976","H",1,317050,103,112000,2
"977","H",1,317332,103,NA,0
"978","H",1,317804,103,64000,4
"979","H",1,317805,200,35400,1
"980","H",1,318096,300,NA,0
"981","H",1,318323,200,142800,8
"982","H",1,318814,103,43500,2
"983","H",1,319437,102,43700,1
"984","H",3,320313,200,NA,1
"985","H",1,320475,200,16500,4
"986","H",3,320655,200,NA,1
"987","H",1,320750,102,40800,1
"988","H",1,321036,200,47000,1
"989","H",1,322039,300,53000,2
"990","H",1,322245,102,45000,2
"991","H",1,322278,102,NA,0
"992","H",1,322973,200,36000,7
"993","H",1,324091,103,54000,2
"994","H",1,324685,300,NA,0
"995","H",1,324714,300,50800,3
"996","H",1,324837,102,101200,4
"997","H",1,324919,300,68000,2
"998","H",1,324957,101,36000,1
"999","H",1,325311,101,104100,1
"1000","H",1,325914,102,70000,3
"1001","H",1,326140,104,NA,0
"1002","H",1,326311,300,NA,0
"1003","H",1,327764,300,NA,0
"1004","H",1,328086,104,59500,2
"1005","H",1,328207,102,104600,5
"1006","H",1,328392,101,102050,1
"1007","H",1,329648,300,38250,1
"1008","H",1,329819,102,124000,2
"1009","H",1,330353,200,100000,3
"1010","H",3,330436,103,NA,1
"1011","H",1,330582,300,34000,4
"1012","H",1,330668,102,50700,4
"1013","H",1,331348,101,206000,2
"1014","H",1,331621,101,NA,0
"1015","H",1,331626,300,29800,3
"1016","H",1,331811,104,22000,2
"1017","H",1,332166,300,77400,3
"1018","H",2,332381,102,NA,1
"1019","H",1,332651,300,16800,1
"1020","H",1,333031,300,21700,1
"1021","H",1,333073,200,40000,2
"1022","H",1,333379,200,83000,2
"1023","H",1,334718,200,15000,4
"1024","H",1,335286,102,121130,3
"1025","H",2,335361,101,NA,1
"1026","H",1,335985,101,7200,1
"1027","H",1,336490,102,272,3
"1028","H",1,336743,101,NA,0
"1029","H",1,336758,101,30400,3
"1030","H",1,339200,102,32000,1
"1031","H",3,339382,103,NA,1
"1032","H",1,340058,102,18100,1
"1033","H",1,340434,200,40000,1
"1034","H",1,341483,200,24800,2
"1035","H",1,341548,300,129500,2
"1036","H",1,341879,101,215000,2
"1037","H",1,342319,300,26400,1
"1038","H",1,342719,200,124000,4
"1039","H",1,342950,102,255550,3
"1040","H",1,343139,102,52000,1
"1041","H",1,343178,300,NA,0
"1042","H",1,343425,300,130000,4
"1043","H",1,343456,103,75300,2
"1044","H",2,344268,102,NA,1
"1045","H",1,344316,103,69600,2
"1046","H",1,344378,300,57000,2
"1047","H",1,344594,300,15300,1
"1048","H",1,344700,300,80900,2
"1049","H",1,345027,200,132400,4
"1050","H",1,345252,102,41020,1
"1051","H",1,345822,103,98020,1
"1052","H",1,346239,300,222400,2
"1053","H",1,346280,300,27000,2
"1054","H",1,346650,101,36000,1
"1055","H",1,346969,101,72400,2
"1056","H",1,347279,300,71100,2
"1057","H",1,347713,104,190000,3
"1058","H",1,347839,104,75000,5
"1059","H",1,347996,200,370000,2
"1060","H",1,348354,300,50800,2
"1061","H",1,348541,300,NA,0
"1062","H",1,348668,102,121250,3
"1063","H",1,348891,300,43300,1
"1064","H",1,348940,300,NA,0
"1065","H",1,349107,300,NA,0
"1066","H",1,349342,103,193300,4
"1067","H",1,350021,103,45100,2
"1068","H",1,350228,101,34040,1
"1069","H",1,350656,103,176300,4
"1070","H",1,350755,300,150000,3
"1071","H",2,351017,300,NA,1
"1072","H",1,351202,102,30000,1
"1073","H",1,351455,300,24000,4
"1074","H",1,351780,101,16630,1
"1075","H",3,352131,103,NA,1
"1076","H",1,352382,104,202000,4
"1077","H",1,352714,102,74000,1
"1078","H",1,352857,200,8900,3
"1079","H",1,352934,104,60000,1
"1080","H",1,353424,103,43000,1
"1081","H",1,353667,300,65300,3
"1082","H",3,353820,200,NA,1
"1083","H",1,354864,101,50000,5
"1084","H",1,355487,103,38200,2
"1085","H",1,355493,102,40200,3
"1086","H",1,355596,104,120000,3
"1087","H",1,356592,300,48200,2
"1088","H",1,356655,300,42100,2
"1089","H",1,357003,300,20230,2
"1090","H",1,357546,300,60000,4
"1091","H",1,357648,200,12000,1
"1092","H",1,358135,300,NA,0
"1093","H",1,358730,103,25000,1
"1094","H",1,358828,200,8400,1
"1095","H",1,358974,103,82000,1
"1096","H",1,359598,102,22920,2
"1097","H",1,360037,300,10000,3
"1098","H",1,360343,300,55100,2
"1099","H",3,360895,103,NA,1
"1100","H",1,360990,103,80000,2
"1101","H",1,361248,300,10500,1
"1102","H",1,361284,300,59800,5
"1103","H",1,361347,104,37800,1
"1104","H",1,362227,300,84400,2
"1105","H",1,362630,102,91200,4
"1106","H",1,363022,103,29000,3
"1107","H",1,363173,103,91800,3
"1108","H",1,363274,101,50000,1
"1109","H",1,364308,200,63400,2
"1110","H",1,364834,200,89200,3
"1111","H",1,365082,300,21600,3
"1112","H",1,365138,102,78000,2
"1113","H",1,366079,300,NA,0
"1114","H",1,366481,200,85000,3
"1115","H",1,366599,300,NA,0
"1116","H",1,367270,200,22000,5
"1117","H",1,367355,200,61500,3
"1118","H",1,367660,200,19000,1
"1119","H",1,367803,300,NA,0
"1120","H",3,368033,200,NA,1
"1121","H",1,369202,300,71400,2
"1122","H",1,369273,300,61500,2
"1123","H",1,369362,200,85600,1
"1124","H",1,369724,300,55000,2
"1125","H",1,369858,103,127000,2
"1126","H",1,369981,200,114400,3
"1127","H",1,370623,102,56700,2
"1128","H",1,371242,300,63100,3
"1129","H",1,371544,300,33800,1
"1130","H",1,372865,102,121300,2
"1131","H",1,373115,104,104011,3
"1132","H",1,374275,300,165000,5
"1133","H",1,374820,103,36000,1
"1134","H",1,374980,300,32000,1
"1135","H",1,376096,300,144000,2
"1136","H",1,376245,200,17000,1
"1137","H",1,376290,300,130600,2
"1138","H",1,376411,200,36000,2
"1139","H",1,376529,101,6700,1
"1140","H",1,376578,103,94000,2
"1141","H",1,376617,300,14400,4
"1142","H",1,377239,103,111000,3
"1143","H",1,378212,200,70000,4
"1144","H",1,378497,102,91500,4
"1145","H",1,379047,104,72300,2
"1146","H",1,379440,103,41400,2
"1147","H",1,379658,300,26700,1
"1148","H",1,379992,104,50600,4
"1149","H",1,380209,103,18400,1
"1150","H",1,380213,200,68800,1
"1151","H",1,380815,300,23100,1
"1152","H",2,381116,101,NA,1
"1153","H",1,381593,200,15000,1
"1154","H",2,382353,104,NA,1
"1155","H",1,382455,300,19000,5
"1156","H",1,383543,102,429200,3
"1157","H",1,384027,104,50800,1
"1158","H",1,384082,104,480,1
"1159","H",1,384338,101,41400,1
"1160","H",1,384340,101,30000,2
"1161","H",1,384721,103,5000,2
"1162","H",1,384978,200,52000,2
"1163","H",1,385955,200,10600,1
"1164","H",1,386603,200,144800,2
"1165","H",1,386930,200,117600,3
"1166","H",1,387201,200,0,1
"1167","H",1,387333,101,386000,1
"1168","H",1,387391,300,NA,0
"1169","H",2,387819,300,NA,1
"1170","H",1,388280,102,45500,2
"1171","H",1,388401,300,13400,1
"1172","H",1,388761,103,45000,1
"1173","H",1,388809,101,19100,1
"1174","H",1,389248,102,113000,2
"1175","H",1,390006,104,135000,4
"1176","H",1,390265,104,59000,1
"1177","H",1,391801,300,NA,0
"1178","H",1,391944,104,34000,1
"1179","H",1,392173,300,61500,2
"1180","H",1,392875,101,41000,2
"1181","H",1,393236,102,81000,2
"1182","H",1,393496,200,175000,2
"1183","H",1,393577,103,133500,2
"1184","H",1,393616,101,49000,2
"1185","H",1,393848,300,162700,4
"1186","H",2,393977,101,NA,1
"1187","H",3,394797,103,NA,1
"1188","H",1,395142,102,92500,2
"1189","H",1,395549,300,224000,1
"1190","H",1,395561,200,NA,0
"1191","H",3,396032,101,NA,1
"1192","H",1,396108,102,60100,2
"1193","H",1,396377,300,102500,2
"1194","H",1,396803,103,13900,1
"1195","H",1,396838,300,NA,0
"1196","H",1,397036,103,75000,2
"1197","H",1,397086,104,21600,6
"1198","H",1,397144,300,7500,1
"1199","H",1,397373,300,95000,4
"1200","H",1,397435,200,106300,6
"1201","H",1,397597,103,14100,1
"1202","H",1,397816,300,NA,0
"1203","H",1,398025,200,NA,0
"1204","H",1,398163,103,13200,2
"1205","H",1,398478,102,231190,4
"1206","H",1,398759,104,80000,3
"1207","H",3,398882,103,NA,1
"1208","H",1,399462,300,46600,2
"1209","H",1,399784,103,85000,3
"1210","H",3,400276,200,NA,1
"1211","H",1,400799,300,70000,3
"1212","H",1,401508,103,36600,2
"1213","H",1,401868,300,NA,0
"1214","H",1,402282,300,NA,0
"1215","H",1,402596,300,13400,2
"1216","H",1,403110,200,15000,1
"1217","H",1,403279,300,79500,2
"1218","H",1,403371,101,171000,2
"1219","H",1,404661,103,278750,5
"1220","H",1,404913,103,96200,2
"1221","H",1,404965,102,59300,2
"1222","H",1,405293,300,NA,0
"1223","H",3,405376,103,NA,1
"1224","H",1,405381,300,NA,0
"1225","H",1,405879,300,36400,2
"1226","H",1,405955,300,NA,0
"1227","H",1,406303,101,35000,1
"1228","H",1,406406,300,NA,0
"1229","H",1,406573,102,208800,3
"1230","H",1,407979,101,NA,0
"1231","H",1,408022,200,77000,4
"1232","H",1,408268,104,53700,2
"1233","H",1,408583,300,NA,0
"1234","H",1,409159,300,15500,1
"1235","H",1,409198,104,104600,2
"1236","H",1,409924,200,87000,5
"1237","H",1,409951,200,NA,0
"1238","H",1,409971,103,39060,2
"1239","H",1,410701,103,100000,2
"1240","H",1,410940,103,115000,4
"1241","H",1,411110,300,173300,2
"1242","H",1,411289,300,62600,2
"1243","H",1,411555,300,190900,4
"1244","H",1,412135,102,36000,1
"1245","H",1,412580,103,62000,2
"1246","H",1,412907,103,75000,1
"1247","H",1,412916,102,85000,4
"1248","H",1,413146,300,NA,0
"1249","H",1,414131,300,NA,0
"1250","H",1,414360,300,78200,4
"1251","H",1,414582,300,NA,0
"1252","H",1,414662,102,111900,2
"1253","H",1,414897,200,43000,3
"1254","H",1,414950,300,227000,2
"1255","H",1,415249,300,47000,1
"1256","H",1,417634,300,46200,1
"1257","H",1,417778,300,NA,0
"1258","H",1,417844,102,67570,3
